series_id,mae,rmse,mape,n_train,n_test,mean_y_train,mean_y_test,mean_yhat
brand-35_supermarket-B_standard_351 - 500 GR,50652.974087819086,59084.193813995655,62.31772162379096,30,6,63042.60166666666,82274.2,31621.225912180907
brand-15_supermarket-D_standard_501 - 700 GR,86002.44175637525,97658.39972061144,62.46151507353921,30,6,9056.138,135994.32166666668,59150.17784297451
brand-14_supermarket-D_light_501 - 700 GR,24371.196604425015,28822.19349776284,62.51370301144669,29,6,26809.930344827582,40049.05499999999,57429.75638863403
brand-14_supermarket-D_standard_501 - 700 GR,53231.49039498333,69183.05378561011,62.59760770150001,30,6,74403.0595,77864.53333333334,48936.41635539213
brand-14_supermarket-A_light_501 - 700 GR,17571.40108255984,24749.07610084239,66.82567402408051,27,6,29034.93444444444,25543.505,28046.951127730357
brand-15_supermarket-D_vegan_351 - 500 GR,9582.198092740004,10296.872541858158,67.35718376378047,30,6,9115.134500000002,14690.691666666666,13552.911929879587
brand-14_supermarket-A_light_0 - 350 GR,1934.2346206800757,2543.180358130596,68.00917515914368,30,6,3122.9936666666667,3287.0066666666667,4899.92088472744
brand-15_supermarket-A_standard_0 - 350 GR,5789.672565610661,6890.0909423329285,68.20677159181642,30,6,11507.858333333334,9655.75,14381.65966995133
brand-15_supermarket-A_vegan_0 - 350 GR,2104.202878207992,2595.4838851695645,69.22892552531214,30,6,4165.289999999999,3031.155,5033.4306836200585
other_supermarket-A_flavoured_0 - 350 GR,26567.8418650134,35532.03885908091,70.11925324982471,30,6,41646.443,45254.56666666667,67125.34052395982
brand-15_supermarket-A_standard_701 - 1000 GR,50796.33820943081,61356.90380532974,70.23164613308384,30,6,166124.94666666666,69324.09999999999,109208.50821647921
brand-15_supermarket-A_light_501 - 700 GR,27977.277068653173,56713.509463454364,72.35823206513744,17,6,10414.29411764706,29872.309999999998,9341.860992150972
brand-15_supermarket-A_flavoured_0 - 350 GR,6398.638147116726,7207.731202892313,73.66102386418483,30,6,6726.8353333333325,9059.176666666666,12011.824785338382
other_supermarket-A_standard_0 - 350 GR,175.11016038840822,209.8451641077268,73.76181641063269,30,6,233.6951666666666,267.2966666666667,442.406827055075
brand-15_supermarket-A_light_701 - 1000 GR,29515.463522276452,36851.38591421051,74.60368682317308,30,6,79410.97166666666,38514.25833333333,68029.7218556098
other_supermarket-B_standard_0 - 350 GR,145.33950675442915,188.37492817697574,78.08287277694043,30,6,295.7371666666666,176.85,290.0688698346539
brand-14_supermarket-B_standard_701 - 1000 GR,33258.03519017251,43625.83303816948,80.46839995226625,30,6,52347.22,42912.137500000004,73223.96909580614
brand-15_supermarket-C_flavoured_0 - 350 GR,4871.1718741504965,6407.54434231757,81.07837964965205,30,6,7956.711666666667,6690.45,11292.293784785876
brand-15_supermarket-B_standard_701 - 1000 GR,28997.96980103984,31533.21835397366,81.46903345921474,30,6,70882.43666666668,35485.25,56716.71661459911
other_supermarket-D_flavoured_351 - 500 GR,24188.51791021817,26442.557880592278,82.75734780418337,30,6,14031.744333333334,29143.803333333333,10227.41825669246
brand-15_supermarket-D_light_701 - 1000 GR,66233.09985350938,83512.5610053228,84.27734347542574,30,6,136364.59666666665,94928.40000000001,161161.4998535094
brand-15_supermarket-B_light_701 - 1000 GR,12869.843335086314,16266.947027546461,86.11151223875332,30,6,34113.670000000006,13697.125,24167.928769889957
brand-15_supermarket-B_light_351 - 500 GR,13476.503316513941,17469.725849753668,89.58177420196873,30,6,18551.351000000002,16622.24,30098.74331651394
brand-35_supermarket-A_flavoured_0 - 350 GR,7459.9242548718585,8458.196660786443,90.85546409893527,30,6,7518.306333333333,9872.661000000002,10462.52055263756
brand-35_supermarket-C_standard_0 - 350 GR,2652.7312483191968,3112.4356343777167,91.33305101875207,30,6,4734.982666666666,3091.4166666666665,884.2561505012376
brand-14_supermarket-C_standard_0 - 350 GR,2841.616689952502,3289.8602455067057,91.66820306650484,30,6,403.98016666666666,3107.1491666666666,326.1297452570412
other_supermarket-D_standard_0 - 350 GR,3263.5784436935905,4210.476889322355,93.19287138350299,30,6,4349.654833333333,3832.388333333333,7095.966777026923
brand-15_supermarket-D_light_351 - 500 GR,49442.29568428259,73426.77103200383,93.6957995519338,30,6,81280.51100000001,45548.48166666667,94990.77735094925
brand-35_supermarket-B_light_351 - 500 GR,38836.62653515135,48091.34327404769,94.19956602038044,30,6,29658.018333333333,39376.53333333333,2803.1918561132893
brand-15_supermarket-A_vegan_351 - 500 GR,5338.302213184218,5657.292076471865,94.4539243946928,30,6,7692.399,5760.5841666666665,11098.886379850885
brand-14_supermarket-B_standard_501 - 700 GR,25046.197884406745,28677.085902303945,98.10981016458742,30,6,35898.76033333333,31727.8575,11928.48546768151
brand-15_supermarket-C_standard_501 - 700 GR,69790.78847701508,73881.34520562929,100.00154530860736,6,6,0.7000000000000001,69790.11,-0.6784770151000666
brand-15_supermarket-C_light_501 - 700 GR,27312.837201018756,29142.820006991635,100.05620183773549,8,6,0.7474999999999999,27298.81,-14.027201018754033
brand-14_supermarket-A_light_701 - 1000 GR,54641.2060448963,64057.86090268032,104.76537696519071,30,6,40424.326,52350.98166666667,1765.3292774118502
brand-15_supermarket-C_standard_701 - 1000 GR,82760.56621024992,101022.27129455387,106.01355639719065,30,6,164736.98499999996,85554.49166666665,168315.05787691657
brand-15_supermarket-A_light_351 - 500 GR,14173.287801440902,18470.200644326294,107.66210998952658,30,6,26452.427999999996,14636.14,27438.49496968207
brand-15_supermarket-A_standard_351 - 500 GR,33483.47663603235,38219.993135933095,108.95142244562355,30,6,59649.920999999995,34701.71833333333,68185.19496936568
brand-15_supermarket-B_vegan_0 - 350 GR,2005.9515223490018,2299.0358892334075,119.28815597887352,30,6,5186.268000000001,2605.185,4410.671603595617
brand-15_supermarket-B_flavoured_0 - 350 GR,4359.5222388658185,5881.927266926208,121.09340035147314,30,6,5556.068333333333,4423.94,6569.316570386553
brand-14_supermarket-A_standard_0 - 350 GR,5802.747673855699,8484.460487076096,121.63475625743769,30,6,4016.623699999999,4634.221833333333,9090.812012825505
brand-14_supermarket-A_flavoured_0 - 350 GR,5805.368527675655,8826.33742089865,124.68325346991543,30,6,4444.509466666666,4847.990000000001,10170.469351066064
brand-14_supermarket-C_light_701 - 1000 GR,30741.442689607135,34804.773276531414,125.33254449121829,29,6,18089.030172413793,28508.428333333333,59249.87102294047
other_supermarket-D_standard_351 - 500 GR,29302.14357235035,30395.84507903324,126.06533806132943,30,6,15790.950566666666,24796.199999999997,-4505.943572350343
brand-14_supermarket-B_light_701 - 1000 GR,30345.987256265405,35240.56413719323,133.82518254330904,30,6,31675.535499999998,21761.9725,50732.451248492405
brand-15_supermarket-C_light_701 - 1000 GR,36554.57467032153,43569.48597405488,139.7279372790404,30,6,61146.251666666685,25386.975000000002,49313.85804732877
brand-14_supermarket-C_standard_501 - 700 GR,57611.4514044472,82949.02588954008,142.77753771018214,24,6,7882.654166666667,38937.54,-18673.911404447197
brand-35_supermarket-C_light_701 - 1000 GR,12995.562364735619,19361.095229673945,179.0594939705265,30,6,13436.075,15699.5,20114.332881275335
other_supermarket-C_vegan_0 - 350 GR,6417.604023246037,6921.084371100989,197.44490254998732,30,6,5255.857666666667,3302.0883333333336,-2211.746431345371
brand-14_supermarket-B_flavoured_0 - 350 GR,4101.900909336961,4432.445966757698,220.42398495136078,30,6,2737.431866666667,1995.4275,6097.328409336961
brand-14_supermarket-D_light_0 - 350 GR,4975.286900018755,5995.618664935217,222.29144451355145,21,6,2572.0680952380953,2774.8349999999996,7750.121900018756
brand-35_supermarket-D_vegan_0 - 350 GR,5736.848870430736,6567.721051320579,225.49397579955817,30,6,9157.182999999999,3568.8249999999994,4405.669523525217
brand-15_supermarket-D_standard_0 - 350 GR,4246.5098510411235,4523.184622647688,242.34980734341184,30,6,5311.533333333334,1873.3233333333335,3398.997089505641
brand-14_supermarket-C_light_501 - 700 GR,45124.770469222916,47586.679537837736,265.6610913685022,19,6,5704.7699999999995,19482.125000000004,12880.443258517103
brand-14_supermarket-B_light_501 - 700 GR,38975.8576031514,45227.335763919255,287.80815184153323,30,6,18328.387999999995,14789.029999999999,-14549.67538201258
brand-14_supermarket-C_standard_701 - 1000 GR,136915.1396782427,153435.2888847674,295.1455202144903,30,6,30763.470000000005,55115.15833333333,192030.29801157603
brand-35_supermarket-B_standard_0 - 350 GR,0.5538313557665618,0.5975794106285782,335.6553671312496,23,4,0.5602173913043476,0.165,0.18283330828701305
brand-14_supermarket-C_flavoured_0 - 350 GR,4681.157155782652,5871.537604847428,367.2245524577868,18,3,1096.1125000000002,2297.9733333333334,-2383.183822449318
other_supermarket-B_standard_351 - 500 GR,11260.173089358601,12974.103348467568,437.07797362024036,30,6,6787.513333333333,10112.383333333333,21372.556422691934
other_supermarket-D_light_701 - 1000 GR,1011.101608900936,1332.1010342157783,482.1640140932903,30,6,505.44780000000003,226.09399999999997,1146.5632428984086
brand-14_supermarket-A_light_351 - 500 GR,10951.080179946453,14120.010088289786,532.9650216892366,10,3,1800.6929999999998,1996.4233333333334,-8954.656846613121
brand-14_supermarket-A_standard_351 - 500 GR,37655.86276648297,55692.11388627568,638.7181499954421,12,5,3396.521666666666,7270.024,-30385.83876648296
brand-15_supermarket-C_light_0 - 350 GR,1.6718955308580834,1.6718955308580834,668.7582123432334,6,1,0.2833333333333333,0.25,1.9218955308580834
brand-35_supermarket-C_light_0 - 350 GR,1.6956280559868855,1.6956280559868855,678.2512223947542,7,1,0.2857142857142857,0.25,1.9456280559868855
brand-14_supermarket-B_vegan_701 - 1000 GR,34068.35922128765,65602.71484369402,695.22981865751,11,6,4447.513636363636,5231.895833333333,-26624.99974525369
other_supermarket-C_light_701 - 1000 GR,1662.6185556227044,2298.0974190801007,910.1499423945393,28,6,360.35842857142865,208.12,1253.5498802394256
brand-15_supermarket-A_standard_501 - 700 GR,688452.052138424,717946.6989526687,1032.888783674455,10,6,42480.406,69820.82,577562.4490433489
brand-15_supermarket-B_vegan_351 - 500 GR,40289.816095272756,70852.62652622571,1125.3971937913202,16,6,1401.1087499999999,4898.9875,-34520.32434958213
brand-15_supermarket-B_standard_0 - 350 GR,5.300764659321446,8.227525357596864,2126.977365739794,7,6,0.24285714285714285,0.2333333333333333,-2.5386513120022873
brand-14_supermarket-C_light_0 - 350 GR,57042.08287816574,63568.2898021713,2383.8128273073776,6,6,1911.6450000000002,2397.8266666666664,22545.894416495863
brand-15_supermarket-B_light_0 - 350 GR,5.028909522034349,6.820560135771316,2455.941536447525,8,2,0.23125,0.325,-4.703909522034349
brand-14_supermarket-C_vegan_701 - 1000 GR,109551.95248559474,164169.2997812549,2756.2584460916623,4,6,3387.3312499999997,4354.466666666666,83860.8255692151
brand-14_supermarket-D_vegan_701 - 1000 GR,335413.5058178379,373425.47867392114,2889.001466993791,11,6,12825.474999999999,12610.283333333333,-322803.2224845046
other_supermarket-B_light_701 - 1000 GR,43.558057500143775,50.82489870866093,3129.6148480472907,30,3,69.59406666666665,1.5766666666666669,-41.981390833477114
brand-35_supermarket-B_light_701 - 1000 GR,9335.373017720816,11464.413121876853,18015.836273269837,30,5,10113.15,141.0,-9194.373017720816
brand-14_supermarket-D_flavoured_0 - 350 GR,9717.526841292673,13443.856982942725,32550.434887156876,30,6,4838.503533333334,1959.2466666666667,-7730.176115710025
brand-14_supermarket-B_vegan_351 - 500 GR,5392.449719013938,6983.672115771641,81149.63019753109,27,6,3484.678888888889,8.059999999999997,5213.466676786346
brand-14_supermarket-D_vegan_351 - 500 GR,4211.255001925748,5181.176022887118,97111.12845559741,30,6,9555.858,11.505,-2067.018025078425
brand-14_supermarket-B_light_0 - 350 GR,4700.916058571245,5724.255183227483,291327.45834242826,30,6,1927.3923333333335,2.3920000000000003,2967.3447964413413
brand-14_supermarket-A_vegan_351 - 500 GR,23030.074340646253,23757.140345891636,407075.5080089328,26,6,4503.225,49.842,15901.460249295991
brand-14_supermarket-B_standard_0 - 350 GR,6039.099433550818,7658.687333672068,488090.1736868256,30,6,2060.1801666666665,3.526,5517.8344202909575
other_supermarket-D_standard_501 - 700 GR,35629.44197127499,37572.48376947634,720055.7857138693,29,2,10061.389655172414,5.949999999999999,35635.39197127499
brand-14_supermarket-C_light_351 - 500 GR,2270.7494076155526,2340.015938721405,801888.9184537828,15,3,1331.176,0.34500000000000003,-3274.1902437256613
brand-35_supermarket-B_standard_701 - 1000 GR,13636.300435578929,14625.890467336681,1181953.75044263,30,5,21370.375,88.5,6264.807026644594
other_supermarket-B_light_351 - 500 GR,197520.77396877695,218612.5639303512,1500415.972938591,8,6,5627.3125,637.3333333333334,-8757.354869143133
brand-14_supermarket-D_standard_0 - 350 GR,7051.892146534109,8068.558412195707,1814675.2980007918,30,6,1377.6860000000001,0.8709999999999999,7315.20820089742
brand-15_supermarket-D_light_0 - 350 GR,4803.493831990365,4803.493831990365,1921397.5327961459,17,1,2535.1470588235293,0.25,-4803.243831990365
other_supermarket-B_standard_450 - 600GR,111741.5719701082,156022.7245740544,2054013.286297967,10,5,5849.75,11.7,11516.197492641728
brand-14_supermarket-D_light_351 - 500 GR,16633.955568692443,20091.490561097715,6648954.942258995,26,4,4311.883076923076,0.34500000000000003,20371.10508816814
brand-14_supermarket-D_standard_351 - 500 GR,131852.747097488,131852.747097488,33380442.303161517,25,1,9630.466,0.395,131853.142097488
other_supermarket-A_light_351 - 500 GR,3753324.2203863612,3806274.4395951945,59494212.82039185,6,3,7764.0,9.5,-3408561.1485297866
