series_id,n_obs,MAE,RMSE,sMAPE,R2
brand-15_supermarket-B_light_501 - 700 GR,6.0,5547.48565308706,6919.529126550795,30.405800003910162,0.07479705743633003
other_supermarket-D_flavoured_351 - 500 GR,6.0,6173.150282300361,7975.43219828253,23.50824980292157,-0.8532315441554337
brand-14_supermarket-C_light_701 - 1000 GR,6.0,6264.083827987456,8791.733854197442,20.530651306295944,-0.2790846850899089
other_supermarket-A_flavoured_351 - 500 GR,6.0,6403.743998926521,8370.579276667278,10.831740769643616,0.48320476875406493
brand-14_supermarket-D_light_501 - 700 GR,6.0,6412.392971677902,7362.469563329276,15.864560664765296,-0.1125449972503243
brand-35_supermarket-D_flavoured_0 - 350 GR,6.0,6426.611441948723,7544.26546925598,20.105819226458713,-2.8070421937914998
brand-14_supermarket-B_light_501 - 700 GR,6.0,6568.2552105783,7010.462341124875,46.871843768974955,-0.0918922633712469
brand-15_supermarket-B_standard_701 - 1000 GR,6.0,6901.863757756596,8671.65427415124,17.847421611002247,-0.7041042017774568
brand-15_supermarket-A_light_351 - 500 GR,6.0,6904.0977773435625,7742.972627520476,38.329563380879534,-1.1193124302766653
brand-35_supermarket-C_light_701 - 1000 GR,6.0,7061.200908076496,9336.34063900267,51.241483258479626,-1.051045803760943
brand-15_supermarket-A_light_701 - 1000 GR,6.0,7524.839901312495,8375.251648512552,20.830564816754148,0.6376293863996526
brand-15_supermarket-B_standard_351 - 500 GR,6.0,8114.584743680135,9752.45270101192,18.144049938374543,0.004819089308551239
brand-14_supermarket-B_standard_701 - 1000 GR,6.0,8696.659723083654,10062.373248965105,21.60746604727553,0.48056078304418337
brand-35_supermarket-C_standard_701 - 1000 GR,6.0,8904.543364672802,10922.486848209408,20.964866754469327,-0.35943785298040654
brand-15_supermarket-C_light_701 - 1000 GR,6.0,9120.671878372717,10482.464474460881,32.754262637360064,-0.3289558204435443
brand-15_supermarket-D_light_351 - 500 GR,6.0,9351.352724600174,11089.74399260517,19.481117083953656,-0.24091987190196074
brand-14_supermarket-A_light_501 - 700 GR,6.0,9496.308064234268,10239.438340312432,33.707798068850295,-0.73027856553351
other_supermarket-A_flavoured_0 - 350 GR,6.0,9916.748367869763,10857.638269357833,21.49271839920244,-0.13695400066173935
brand-14_supermarket-A_standard_501 - 700 GR,6.0,10548.530681190254,13686.008577472494,20.848461129368523,0.06315881097324871
brand-14_supermarket-B_standard_501 - 700 GR,6.0,11576.564321177788,12686.319425421909,39.85826126472678,0.28852560762883306
brand-15_supermarket-C_light_351 - 500 GR,6.0,11580.97033388167,14159.410661929076,25.38896424944222,0.3499772785980141
brand-35_supermarket-B_light_351 - 500 GR,6.0,12140.476404792413,15161.19663564422,33.52165672609415,-2.736766658392579
brand-35_supermarket-D_light_351 - 500 GR,6.0,12181.347230633672,22139.01065083315,10.57348124986589,-0.19591149849364076
brand-15_supermarket-A_standard_701 - 1000 GR,6.0,12189.80456414446,12787.580217518873,16.123729664901635,0.4927702932561029
brand-14_supermarket-A_light_701 - 1000 GR,6.0,12526.09789803929,17561.663462829896,21.508228992694434,0.29296802230374674
other_supermarket-D_flavoured_0 - 350 GR,6.0,12703.027494432035,16383.268217159568,20.789212371242208,0.41871312357099255
brand-35_supermarket-A_light_351 - 500 GR,6.0,12999.218136413381,16225.375633485583,21.52510590590417,0.06504688422611682
brand-35_supermarket-C_standard_351 - 500 GR,6.0,13057.231009686882,17338.94938311436,16.490175250822006,0.14661973638735037
brand-14_supermarket-C_standard_701 - 1000 GR,6.0,13667.490259748904,16713.911422513032,26.100040543058462,-0.20637327135472905
brand-14_supermarket-A_standard_701 - 1000 GR,6.0,14573.71742098205,21110.13107930142,15.126269545910093,0.5577959319559967
brand-15_supermarket-C_standard_351 - 500 GR,6.0,14843.547663949352,19202.474947261788,20.045730982900565,0.48799037082244157
brand-15_supermarket-D_standard_351 - 500 GR,6.0,15670.302758441088,21994.782444849297,15.935538840982252,0.2997584749039137
brand-15_supermarket-A_standard_351 - 500 GR,6.0,15999.655643662612,16997.956574019285,38.17408045459439,-1.791173375264738
brand-15_supermarket-C_standard_701 - 1000 GR,6.0,16194.777082829647,22373.1757439734,18.721030435715754,0.44726382408147514
brand-15_supermarket-B_standard_501 - 700 GR,6.0,16251.48384276415,19546.513183494444,39.267808430798475,-0.5241895356994795
brand-35_supermarket-C_light_351 - 500 GR,6.0,16823.326767221817,20829.570802703667,22.264217410573657,-1.4188285338487558
brand-35_supermarket-B_standard_351 - 500 GR,6.0,18091.410797921333,23811.205280793623,23.10305600636631,-0.846581584609861
brand-14_supermarket-D_standard_501 - 700 GR,6.0,18242.156465928016,24095.339361769344,24.284240015446805,-0.7817163375587044
brand-15_supermarket-D_light_701 - 1000 GR,6.0,19865.636270843574,29243.98878010801,22.32552566529711,0.588196180995635
brand-14_supermarket-D_light_701 - 1000 GR,6.0,20246.434448708576,25321.79864579915,25.64366805966158,0.5115799406141769
brand-14_supermarket-D_standard_701 - 1000 GR,6.0,31521.41912732351,43817.760699872335,24.791223959486565,0.35569553577466295
brand-35_supermarket-D_standard_351 - 500 GR,6.0,55878.09406234687,73655.23813709703,17.968704164657094,-1.1792588587776454
brand-35_supermarket-A_standard_351 - 500 GR,6.0,71056.13146958876,88197.21156003047,44.587801468478844,-1.9328558475425512
brand-15_supermarket-D_standard_701 - 1000 GR,6.0,72279.56135972637,73678.45718796639,33.1737378254156,0.5712847978185449
