date,variant,pack.size,brand,supermarket,ilr_1,ilr_2
2021-01-30,flavoured,0 - 350 GR,other,supermarket-B,0.7023350641211332,1.5373979443454266
2021-01-30,flavoured,0 - 350 GR,other,supermarket-A,0.28371601839647487,1.2957081256083909
2021-01-30,flavoured,0 - 350 GR,other,supermarket-D,0.4885866764447389,1.413990255181612
2021-01-30,flavoured,0 - 350 GR,other,supermarket-A,0.39464272439600967,1.5085237273926748
2021-01-30,flavoured,0 - 350 GR,other,supermarket-D,0.6289761826882203,1.697912024762564
2021-01-30,flavoured,0 - 350 GR,other,supermarket-D,0.6370613618758784,1.4071796707089228
2021-01-30,flavoured,0 - 350 GR,other,supermarket-A,0.4346870976941835,1.5650672655848934
2021-01-30,flavoured,0 - 350 GR,other,supermarket-B,-0.5646302068252339,0.9881111508147571
2021-01-30,flavoured,0 - 350 GR,other,supermarket-D,0.7277638385260805,1.820301701596805
2021-01-30,flavoured,0 - 350 GR,other,supermarket-C,0.6463105019844978,1.5050521483146093
2021-01-30,flavoured,0 - 350 GR,other,supermarket-A,1.5290156711856987e-16,1.5489919812689816
2021-01-30,flavoured,0 - 350 GR,other,supermarket-C,0.6450263251957582,1.5376417474523827
2021-01-30,flavoured,0 - 350 GR,other,supermarket-D,0.5889822604135861,1.4719536726114757
2021-01-30,flavoured,0 - 350 GR,other,supermarket-A,0.4292494198153701,1.3321555098360538
2021-01-30,flavoured,0 - 350 GR,other,supermarket-B,0.29121501044901305,1.252461306430955
2021-01-30,flavoured,0 - 350 GR,other,supermarket-D,0.309171352698988,1.2628284054626406
2021-01-30,flavoured,0 - 350 GR,other,supermarket-C,0.4540354380997249,1.346465724164665
2021-01-30,flavoured,0 - 350 GR,other,supermarket-C,0.5275164257956794,1.540841867215147
2021-01-30,flavoured,0 - 350 GR,other,supermarket-B,0.5137198973864687,1.2397989970789938
2021-01-30,flavoured,0 - 350 GR,other,supermarket-B,0.7528641821294729,1.303590868384637
2021-01-30,flavoured,0 - 350 GR,other,supermarket-C,0.7736771167520022,1.3156072217915802
2021-01-30,flavoured,0 - 350 GR,other,supermarket-B,0.9802581434685476,1.7311879279731044
2021-01-30,flavoured,0 - 350 GR,brand-15,supermarket-A,0.24901818492647484,1.2439896306259932
2021-01-30,flavoured,0 - 350 GR,brand-15,supermarket-B,0.4889515848610644,1.414200935154007
2021-01-30,flavoured,0 - 350 GR,brand-15,supermarket-C,0.1303728339502092,1.2071753967899457
2021-01-30,flavoured,0 - 350 GR,other,supermarket-D,0.8460968312703353,1.9596657786255611
2021-02-06,flavoured,0 - 350 GR,brand-35,supermarket-A,-0.12681343301539041,1.0500235609267745
2021-02-06,flavoured,0 - 350 GR,brand-35,supermarket-D,-0.03148841247709377,1.1619577229135125
2021-02-06,flavoured,0 - 350 GR,brand-35,supermarket-C,0.03691779899623182,1.210536357960384
2021-02-06,flavoured,0 - 350 GR,brand-14,supermarket-A,-0.22210263438556313,1.903618148348932
2021-02-06,flavoured,0 - 350 GR,brand-14,supermarket-B,0.1549071417936574,1.3257157967940258
2021-02-06,flavoured,0 - 350 GR,brand-14,supermarket-D,0.46143059349412946,1.5026871941462268
2021-02-06,flavoured,0 - 350 GR,brand-14,supermarket-C,0.4534586147550465,1.5021661274460452
2021-02-06,flavoured,0 - 350 GR,other,supermarket-A,0.28462709082644344,1.2962341335210839
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.21665835387463253,1.2569923649454775
2021-02-06,flavoured,0 - 350 GR,other,supermarket-B,0.702335064121133,1.5373979443454264
2021-02-06,flavoured,0 - 350 GR,other,supermarket-A,0.2846987651728391,1.2962755147242693
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.48252721349307737,1.4104918226153256
2021-02-06,flavoured,0 - 350 GR,other,supermarket-A,0.3941878049421609,1.5082349440658438
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.3405432389570315,1.5313851870562067
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.660950963936133,1.420972338889244
2021-02-06,flavoured,0 - 350 GR,other,supermarket-A,0.4346902352923673,1.5650690770780493
2021-02-06,flavoured,0 - 350 GR,other,supermarket-B,-0.7378609689586176,0.8880963236651241
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.4722266780238034,1.2975606774296131
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.7252848466120428,1.8188704549479164
2021-02-06,flavoured,0 - 350 GR,other,supermarket-C,0.6441930205305205,1.5038296198271515
2021-02-06,flavoured,0 - 350 GR,other,supermarket-A,-0.0002870888068775632,1.5488262304690494
2021-02-06,flavoured,0 - 350 GR,other,supermarket-C,0.6419234481082388,1.5358503005306403
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.3901704527367301,1.3571696219311666
2021-02-06,flavoured,0 - 350 GR,other,supermarket-A,0.43354528101444095,1.3346357264557385
2021-02-06,flavoured,0 - 350 GR,other,supermarket-B,0.2916780813326428,1.2527286605302739
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.38145517586137523,1.3045614902235
2021-02-06,flavoured,0 - 350 GR,other,supermarket-C,0.45424164532850553,1.3465847779637103
2021-02-06,flavoured,0 - 350 GR,other,supermarket-C,0.5093817221231102,1.5303717911681143
2021-02-06,flavoured,0 - 350 GR,other,supermarket-B,0.5317579052803799,1.250213245792188
2021-02-06,flavoured,0 - 350 GR,other,supermarket-B,0.752864182129473,1.3035908683846367
2021-02-06,flavoured,0 - 350 GR,other,supermarket-C,0.7768361992120937,1.3174311189003056
2021-02-06,flavoured,0 - 350 GR,other,supermarket-B,0.9802581434685472,1.7311879279731044
2021-02-06,flavoured,0 - 350 GR,brand-15,supermarket-A,0.2010476359243743,1.21570978385968
2021-02-06,flavoured,0 - 350 GR,brand-15,supermarket-B,0.4894349450650206,1.4144800032978766
2021-02-06,flavoured,0 - 350 GR,brand-15,supermarket-C,0.13024576720423525,1.207102034769951
2021-02-06,flavoured,0 - 350 GR,other,supermarket-D,0.8442048852041107,1.9585734630549332
2021-02-13,flavoured,0 - 350 GR,brand-35,supermarket-A,-0.13177381780964587,1.0479261097213761
2021-02-13,flavoured,0 - 350 GR,brand-35,supermarket-D,-0.022844129570862206,1.1695819429216496
2021-02-13,flavoured,0 - 350 GR,brand-35,supermarket-C,0.05775810392468131,1.2350929975093872
2021-02-13,flavoured,0 - 350 GR,brand-14,supermarket-A,-0.19022641681681732,1.8849112621251758
2021-02-13,flavoured,0 - 350 GR,brand-14,supermarket-B,0.1137090177214866,1.3019300487708503
2021-02-13,flavoured,0 - 350 GR,brand-14,supermarket-D,0.4562844381742933,1.4997160599870276
2021-02-13,flavoured,0 - 350 GR,brand-14,supermarket-C,0.3288898406256648,1.4299724500727287
2021-02-13,flavoured,0 - 350 GR,other,supermarket-A,0.28326248681963867,1.2954462790304184
2021-02-13,flavoured,0 - 350 GR,other,supermarket-D,0.47697802846942816,1.407287999148138
2021-02-13,flavoured,0 - 350 GR,other,supermarket-B,0.702335064121133,1.5373979443454264
2021-02-13,flavoured,0 - 350 GR,other,supermarket-A,0.2845153960642395,1.296169646520059
2021-02-13,flavoured,0 - 350 GR,other,supermarket-D,0.47909326477575154,1.4085092313989942
2021-02-13,flavoured,0 - 350 GR,other,supermarket-A,0.39381208560996983,1.5079741855663655
2021-02-13,flavoured,0 - 350 GR,other,supermarket-D,0.051053611901791154,1.364248272948259
2021-02-13,flavoured,0 - 350 GR,other,supermarket-D,0.6524067307290081,1.4160393235470916
2021-02-13,flavoured,0 - 350 GR,other,supermarket-A,0.4347464502869273,1.565101532820292
2021-02-13,flavoured,0 - 350 GR,other,supermarket-B,-0.6158247588609789,0.9585539624158774
2021-02-13,flavoured,0 - 350 GR,other,supermarket-D,0.47222667802380336,1.297560677429613
2021-02-13,flavoured,0 - 350 GR,other,supermarket-D,0.7254797587010791,1.8189829874949899
